sex,age,traveltime,studytime,failures,Dalc,Walc,health,absences,G1
F,18,2,2,0,1,1,3,4,0
F,17,1,2,0,1,1,3,2,9
F,15,1,2,0,2,3,3,6,12
F,15,1,3,0,1,1,5,0,14
F,16,1,2,0,1,2,5,0,11
M,16,1,2,0,1,2,5,6,12
M,16,1,2,0,1,1,3,0,13
F,17,2,2,0,1,1,1,2,10
M,15,1,2,0,1,1,1,0,15
M,15,1,2,0,1,1,5,0,12
F,15,1,2,0,1,2,2,2,14
F,15,3,3,0,1,1,4,0,10
M,15,1,1,0,1,3,5,0,12
M,15,2,2,0,1,2,3,0,12
M,15,1,3,0,1,1,3,0,14
F,16,1,1,0,1,2,2,6,17
F,16,1,3,0,1,2,2,10,13
F,16,3,2,0,1,1,4,2,13
M,17,1,1,3,2,4,5,2,8
M,16,1,1,0,1,3,5,6,12
M,15,1,2,0,1,1,1,0,12
M,15,1,1,0,1,1,5,0,11
M,16,1,2,0,1,3,5,0,12
M,16,2,2,0,2,4,5,2,10
F,15,1,3,0,1,1,5,2,10
F,16,1,1,0,1,3,5,6,10
M,15,1,1,0,1,2,5,8,11
M,15,1,1,0,2,4,1,0,11
M,16,1,2,0,1,1,5,2,12
M,16,1,2,0,5,5,5,4,12
M,15,1,2,0,3,4,5,0,10
M,15,2,2,0,1,1,5,2,15
M,15,1,2,0,1,1,5,0,13
M,15,1,2,0,1,1,2,0,13
M,16,1,1,0,1,1,5,4,12
F,15,2,1,0,1,1,5,4,11
M,15,1,3,0,1,1,4,0,14
M,16,2,3,0,1,1,5,4,13
F,15,1,3,0,1,1,5,2,11
F,15,1,1,0,1,1,2,8,14
F,16,2,2,0,1,2,3,16,11
M,15,1,1,0,2,4,5,8,10
M,15,1,2,0,1,1,5,0,14
M,15,1,1,0,1,1,1,0,9
F,16,2,2,1,2,2,5,14,10
F,15,1,2,0,1,1,5,4,10
F,16,1,2,0,1,4,3,6,13
M,16,1,4,0,1,1,2,2,17
M,15,1,2,0,2,2,5,4,11
F,15,1,2,0,1,1,3,2,13
F,16,3,2,0,2,3,4,0,14
F,15,1,2,0,1,1,5,0,16
M,15,2,1,0,3,4,5,4,10
F,15,1,1,0,2,3,5,0,13
F,15,1,1,0,4,4,1,0,13
F,16,1,2,0,1,1,2,2,12
F,15,1,2,0,1,1,1,0,15
M,15,1,2,0,1,1,5,8,15
M,15,1,2,0,1,1,5,0,14
F,16,1,2,0,1,1,5,2,16
F,16,1,2,0,2,3,4,0,17
F,16,4,1,0,5,5,5,0,10
F,16,1,2,0,1,1,1,0,13
F,16,1,3,0,2,4,4,0,14
F,15,1,2,0,2,4,2,0,13
F,16,3,2,0,1,2,1,2,16
M,15,1,4,0,5,5,3,0,11
F,16,1,4,0,1,2,5,0,10
F,15,2,2,0,1,3,4,0,11
F,15,2,4,0,2,3,3,6,15
M,16,2,4,0,1,1,5,2,13
M,15,1,4,0,1,1,3,0,11
F,15,1,2,0,2,4,5,2,13
M,16,1,1,0,2,2,5,0,13
F,16,1,2,0,2,4,5,4,11
M,15,1,2,0,2,3,5,0,11
M,15,2,4,0,1,1,1,0,12
F,16,1,4,0,1,3,3,1,13
M,17,2,1,3,1,1,3,0,9
